URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/dysphagia-care-transition-summary","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.3.324",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/dysphagia-care-transition-summary","THO"
http://hl7.org/fhir/ValueSet/modified-foodtype,4.0.1,draft,"2.16.840.1.113883.4.642.3.388",TextureModifiedFoodTypeCodes,Texture Modified Food Type Codes,"TextureModifiedFoodType: Codes for types of foods that are texture-modified. This value set is composed SNOMED CT Concepts from SCTID 255620007 Foods (substance) and is provided as a suggestive example.","StructureDefinition/dysphagia-nutrition-order","SCT"
http://hl7.org/fhir/ValueSet/nutrient-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.386",NutrientModifierCodes,Nutrient Modifier Codes,"NutrientModifier :  Codes for types of nutrients that are being modified such as carbohydrate or sodium.  This value set includes codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 226355009 (Nutrients(substance)), and the concepts for Sodium, Potassium and Fluid. This is provided as a suggestive example.","StructureDefinition/dysphagia-nutrition-order","SCT"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/swallowing-screening-result,StructureDefinition/instrumental-swallow-assessment,StructureDefinition/aspiration-risk-flag,StructureDefinition/dysphagia-severity","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/swallowing-screening-result,StructureDefinition/instrumental-swallow-assessment,StructureDefinition/aspiration-risk-flag,StructureDefinition/dysphagia-severity","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/swallowing-screening-result,StructureDefinition/instrumental-swallow-assessment,StructureDefinition/aspiration-risk-flag,StructureDefinition/dysphagia-severity","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/swallowing-screening-result,StructureDefinition/instrumental-swallow-assessment,StructureDefinition/aspiration-risk-flag,StructureDefinition/dysphagia-severity","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/swallowing-screening-result,StructureDefinition/instrumental-swallow-assessment,StructureDefinition/aspiration-risk-flag,StructureDefinition/dysphagia-severity","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/swallowing-screening-result,StructureDefinition/instrumental-swallow-assessment,StructureDefinition/aspiration-risk-flag,StructureDefinition/dysphagia-severity","SCT"
